index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-07-20,383.0,9.0,49.0,176.0,66.0,33.0,17.0,19.0,14.0
2018-07-21,406.0,12.0,44.0,208.0,65.0,32.0,15.0,17.0,13.0
2018-07-22,408.0,16.0,41.0,225.0,58.0,29.0,15.0,15.0,9.0
2018-07-23,359.0,19.0,43.0,165.0,61.0,28.0,14.0,21.0,8.0
2018-07-24,333.0,11.0,41.0,155.0,55.0,29.0,13.0,18.0,11.0
2018-07-25,352.0,11.0,40.0,165.0,60.0,34.0,14.0,17.0,11.0
2018-07-26,354.0,13.0,44.0,162.0,62.0,33.0,13.0,17.0,10.0
2018-07-27,364.0,13.0,45.0,171.0,62.0,31.0,14.0,18.0,10.0
2018-07-28,379.0,13.0,44.0,191.0,64.0,32.0,13.0,12.0,10.0
2018-07-29,380.0,17.0,41.0,202.0,52.0,33.0,16.0,10.0,9.0
2018-07-30,378.0,18.0,43.0,178.0,57.0,39.0,15.0,17.0,11.0
2018-07-31,327.0,10.0,45.0,140.0,54.0,35.0,14.0,18.0,11.0
2018-08-01,327.0,9.0,43.0,141.0,62.0,30.0,14.0,16.0,12.0
2018-08-02,340.0,9.0,47.0,147.0,64.0,28.0,14.0,21.0,10.0
2018-08-03,371.0,11.0,42.0,178.0,68.0,28.0,14.0,21.0,9.0
2018-08-04,383.0,7.0,43.0,207.0,62.0,24.0,13.0,16.0,11.0
2018-08-05,378.0,11.0,42.0,200.0,58.0,25.0,12.0,20.0,10.0
2018-08-06,355.0,12.0,44.0,169.0,59.0,27.0,13.0,22.0,9.0
2018-08-07,336.0,9.0,44.0,147.0,58.0,29.0,15.0,21.0,13.0
2018-08-08,345.0,10.0,46.0,162.0,57.0,29.0,16.0,16.0,9.0
2018-08-09,362.0,17.0,41.0,161.0,61.0,30.0,19.0,23.0,10.0
2018-08-10,373.0,17.0,44.0,181.0,63.0,25.0,16.0,17.0,10.0
2018-08-11,377.0,12.0,42.0,198.0,65.0,22.0,12.0,14.0,12.0
2018-08-12,378.0,13.0,40.0,209.0,54.0,23.0,13.0,12.0,14.0
2018-08-13,363.0,9.0,49.0,170.0,59.0,32.0,14.0,16.0,14.0
2018-08-14,358.0,9.0,46.0,157.0,61.0,33.0,16.0,17.0,19.0
2018-08-15,356.0,12.0,43.0,154.0,64.0,39.0,13.0,14.0,17.0
2018-08-16,357.0,10.0,44.0,162.0,63.0,37.0,11.0,13.0,17.0
2018-08-17,379.0,13.0,44.0,183.0,59.0,30.0,10.0,18.0,22.0
2018-08-18,407.0,13.0,40.0,219.0,65.0,31.0,9.0,19.0,11.0
2018-08-19,385.0,12.0,41.0,216.0,52.0,30.0,9.0,14.0,11.0
2018-08-20,358.0,10.0,47.0,170.0,59.0,31.0,14.0,15.0,12.0
2018-08-21,352.0,11.0,49.0,148.0,56.0,31.0,15.0,17.0,25.0
2018-08-22,374.0,9.0,45.0,173.0,58.0,32.0,12.0,23.0,22.0
2018-08-23,356.0,11.0,42.0,156.0,60.0,33.0,13.0,18.0,23.0
2018-08-24,387.0,13.0,43.0,183.0,63.0,34.0,16.0,20.0,15.0
2018-08-25,409.0,11.0,40.0,213.0,65.0,36.0,16.0,14.0,14.0
2018-08-26,405.0,14.0,37.0,217.0,61.0,34.0,17.0,13.0,12.0
2018-08-27,380.0,16.0,45.0,165.0,62.0,36.0,19.0,20.0,17.0
2018-08-28,353.0,12.0,41.0,161.0,55.0,31.0,12.0,20.0,21.0
2018-08-29,368.0,16.0,45.0,169.0,56.0,31.0,12.0,20.0,19.0
2018-08-30,385.0,12.0,47.0,189.0,62.0,32.0,13.0,19.0,11.0
2018-08-31,414.0,9.0,50.0,208.0,65.0,39.0,12.0,17.0,14.0
2018-09-01,436.0,12.0,44.0,246.0,60.0,35.0,9.0,17.0,13.0
2018-09-02,428.0,15.0,37.0,246.0,58.0,31.0,11.0,14.0,16.0
2018-09-03,428.0,14.0,34.0,261.0,57.0,25.0,10.0,15.0,12.0
2018-09-04,371.0,14.0,40.0,185.0,56.0,29.0,13.0,21.0,13.0
2018-09-05,366.0,15.0,44.0,173.0,54.0,31.0,11.0,24.0,14.0
2018-09-06,370.0,11.0,41.0,180.0,58.0,26.0,12.0,25.0,17.0
2018-09-07,374.0,14.0,40.0,176.0,61.0,24.0,12.0,30.0,17.0
2018-09-08,387.0,9.0,41.0,204.0,61.0,28.0,7.0,20.0,17.0
2018-09-09,381.0,10.0,39.0,207.0,52.0,31.0,8.0,18.0,16.0
2018-09-10,376.0,9.0,42.0,189.0,62.0,31.0,6.0,22.0,15.0
2018-09-11,358.0,12.0,42.0,173.0,54.0,29.0,8.0,24.0,16.0
2018-09-12,368.0,8.0,45.0,171.0,58.0,32.0,9.0,25.0,20.0
2018-09-13,404.0,10.0,44.0,192.0,64.0,32.0,11.0,26.0,25.0
2018-09-14,425.0,15.0,48.0,216.0,67.0,27.0,11.0,24.0,17.0
2018-09-15,423.0,13.0,42.0,231.0,61.0,31.0,11.0,19.0,15.0
2018-09-16,427.0,11.0,45.0,233.0,55.0,32.0,13.0,17.0,21.0
2018-09-17,431.0,14.0,53.0,206.0,61.0,35.0,15.0,25.0,22.0
2018-09-18,380.0,10.0,52.0,174.0,55.0,33.0,11.0,21.0,24.0
2018-09-19,386.0,9.0,50.0,179.0,56.0,32.0,7.0,25.0,28.0
2018-09-20,394.0,11.0,42.0,194.0,61.0,29.0,8.0,20.0,29.0
2018-09-21,411.0,12.0,42.0,211.0,62.0,31.0,9.0,17.0,27.0
2018-09-22,467.0,16.0,43.0,251.0,72.0,32.0,9.0,19.0,25.0
2018-09-23,436.0,11.0,41.0,247.0,55.0,31.0,7.0,19.0,25.0
2018-09-24,405.0,13.0,47.0,191.0,60.0,31.0,7.0,29.0,27.0
2018-09-25,386.0,15.0,53.0,169.0,57.0,34.0,6.0,29.0,23.0
2018-09-26,387.0,12.0,49.0,177.0,57.0,35.0,6.0,25.0,26.0
2018-09-27,385.0,12.0,47.0,169.0,68.0,29.0,9.0,26.0,25.0
2018-09-28,389.0,12.0,48.0,178.0,62.0,23.0,11.0,27.0,28.0
2018-09-29,431.0,12.0,46.0,226.0,67.0,23.0,11.0,21.0,25.0
2018-09-30,415.0,10.0,44.0,220.0,59.0,21.0,11.0,22.0,28.0
2018-10-01,398.0,12.0,48.0,177.0,64.0,30.0,8.0,34.0,25.0
2018-10-02,373.0,9.0,49.0,165.0,54.0,31.0,12.0,28.0,25.0
2018-10-03,379.0,8.0,51.0,170.0,56.0,31.0,12.0,32.0,19.0
2018-10-04,415.0,9.0,52.0,181.0,64.0,30.0,11.0,40.0,28.0
2018-10-05,480.0,7.0,56.0,225.0,71.0,33.0,14.0,41.0,33.0
2018-10-06,488.0,6.0,49.0,247.0,71.0,29.0,16.0,38.0,32.0
2018-10-07,480.0,5.0,48.0,250.0,71.0,28.0,14.0,34.0,30.0
2018-10-08,447.0,6.0,54.0,206.0,69.0,29.0,12.0,40.0,31.0
2018-10-09,390.0,9.0,54.0,168.0,56.0,31.0,9.0,36.0,27.0
2018-10-10,398.0,9.0,50.0,180.0,58.0,32.0,12.0,30.0,27.0
2018-10-11,407.0,9.0,51.0,176.0,62.0,36.0,13.0,32.0,28.0
2018-10-12,424.0,11.0,52.0,194.0,65.0,31.0,13.0,32.0,26.0
2018-10-13,432.0,10.0,48.0,223.0,64.0,28.0,11.0,24.0,24.0
2018-10-14,426.0,10.0,47.0,225.0,55.0,26.0,11.0,23.0,29.0
2018-10-15,397.0,8.0,49.0,180.0,59.0,25.0,13.0,29.0,34.0
2018-10-16,395.0,8.0,50.0,178.0,57.0,32.0,12.0,25.0,33.0
2018-10-17,378.0,13.0,49.0,157.0,59.0,30.0,13.0,30.0,27.0
2018-10-18,378.0,10.0,43.0,163.0,65.0,27.0,15.0,30.0,25.0
2018-10-19,392.0,7.0,46.0,177.0,64.0,27.0,16.0,29.0,26.0
2018-10-20,437.0,11.0,42.0,218.0,71.0,30.0,17.0,24.0,24.0
2018-10-21,410.0,7.0,43.0,217.0,57.0,31.0,16.0,18.0,21.0
2018-10-22,399.0,8.0,49.0,179.0,63.0,34.0,16.0,25.0,25.0
2018-10-23,375.0,8.0,48.0,158.0,61.0,33.0,13.0,31.0,23.0
2018-10-24,377.0,10.0,50.0,154.0,65.0,29.0,14.0,33.0,22.0
2018-10-25,373.0,11.0,46.0,147.0,70.0,31.0,10.0,32.0,26.0
2018-10-26,387.0,9.0,44.0,166.0,71.0,31.0,11.0,27.0,28.0
2018-10-27,403.0,10.0,44.0,197.0,71.0,23.0,9.0,22.0,27.0
2018-10-28,387.0,7.0,39.0,203.0,58.0,28.0,12.0,19.0,21.0
2018-10-29,369.0,7.0,46.0,153.0,66.0,29.0,15.0,27.0,26.0
2018-10-30,348.0,7.0,45.0,140.0,58.0,30.0,16.0,32.0,20.0
2018-10-31,353.0,7.0,42.0,146.0,60.0,27.0,14.0,35.0,22.0
2018-11-01,361.0,6.0,51.0,151.0,58.0,29.0,17.0,30.0,19.0
2018-11-02,363.0,7.0,49.0,158.0,63.0,21.0,13.0,28.0,24.0
2018-11-03,392.0,9.0,47.0,193.0,62.0,23.0,12.0,22.0,24.0
2018-11-04,379.0,7.0,43.0,201.0,48.0,26.0,10.0,21.0,23.0
2018-11-05,361.0,8.0,49.0,169.0,54.0,25.0,8.0,26.0,22.0
2018-11-06,335.0,9.0,49.0,146.0,50.0,28.0,7.0,21.0,25.0
2018-11-07,337.0,8.0,48.0,140.0,58.0,25.0,12.0,21.0,25.0
2018-11-08,335.0,8.0,47.0,145.0,58.0,25.0,10.0,20.0,22.0
2018-11-09,345.0,10.0,49.0,149.0,60.0,19.0,12.0,22.0,24.0
2018-11-10,357.0,7.0,46.0,171.0,60.0,19.0,12.0,21.0,21.0
2018-11-11,360.0,9.0,44.0,185.0,48.0,23.0,10.0,18.0,23.0
2018-11-12,353.0,14.0,48.0,158.0,53.0,23.0,10.0,20.0,27.0
2018-11-13,342.0,15.0,52.0,140.0,52.0,27.0,9.0,23.0,24.0
